扰动项,N,N变化_pct,T_max_degC,Q_mean_W,Q_mean变化_pct,Q_cap_mean_W,Q_cap变化_pct,Q波动_pct
季节振幅 +10%,13,0.0,78.96583059958563,6499.363131477003,-1.3395149269609312e-05,776236.3959526387,-0.05281270920473766,1.9468427880095056
季节振幅 -10%,13,0.0,78.06365879042231,6499.364905746386,1.3903973890207191e-05,777009.9173697911,0.04678490095200937,1.9450677025181669
潮差 +10%,13,0.0,78.51537515070487,6499.36390322014,-1.5210160937108277e-06,776647.1179296961,7.131759359664357e-05,1.9536730656675025
潮差 -10%,13,0.0,78.51411337876753,6499.364100939734,1.521121479477756e-06,776646.0089737264,-7.147013263887107e-05,1.938204020743018
潮汐流速 0 m/s,13,0.0,78.66215375894073,6499.984976688107,0.009554390420297265,659094.9108174156,-15.135797757803779,2.1968307240174183
潮汐流速 0.10 m/s,13,0.0,78.54927691198681,6499.5875633392825,0.003439740606906516,725892.2036340296,-6.535065338568496,1.732949318645425
潮汐流速 0.20 m/s,13,0.0,78.48443990342935,6499.171284964463,-0.0029651687763306914,830765.2433170512,6.968250653321039,2.1085305059561454
潮汐流速 0.30 m/s,13,0.0,78.43313815189155,6498.867953938535,-0.007632256599555139,943193.7980362066,21.44440492016433,2.3730078090335573
壁厚 +10%,13,0.0,79.86503109920841,6499.381159440396,0.0002639852742224674,776673.6179586545,0.0034834268058540336,1.9243132708412478
壁厚 -10%,13,0.0,77.17817807064719,6499.346255118465,-0.0002730568412838532,776620.5536307354,-0.003349066940445101,1.95363519354423
