gen,front_size,best_Q_mean,mean_cost
1,6,10003.636640289325,137897.5228866961
2,14,10003.642022779937,45270.247141388565
3,16,10003.642022779937,44294.54659455818
4,16,10003.66622030055,41181.36384402661
5,16,10003.66622030055,31498.32395736031
6,16,10003.66622030055,32372.030980005646
7,16,10003.671846268016,27090.334703971814
8,16,10003.671846268016,29457.40696496613
