情景,N,T_inf_degC,U_m_s,T_min_degC,T_max_degC,T_mean_degC,合理性
最热季节+零流速+Nmax,13,28.704975890831555,0.0,79.28538370802598,79.28538370802598,79.28538370802598,通过
最冷季节+0.5 m/s+Nmax,13,19.55724379733914,0.5,68.73899964704276,68.73899964704276,68.73899964704277,通过
最冷季节+0.5 m/s+无产热,0,19.55724379733914,0.5,19.557243797339584,19.55869221813631,19.557255068434095,通过
