月份,ERSST_degC,WOA18模型_degC,残差_degC
1,21.505386352539062,20.881783297852465,0.6236030546865976
2,21.02150535583496,20.63313300369959,0.38837235213537014
3,22.54452896118164,21.586189484997185,0.9583394761844559
4,24.81364631652832,23.48558202724031,1.3280642892880117
5,27.28822898864746,25.822369932625218,1.4658590560222429
6,29.17233657836914,27.970412769021216,1.2019238093479245
7,30.000762939453125,29.354144193108535,0.6466187463445898
8,29.785877227783203,29.602794487261413,0.1830827405217903
9,29.802982330322266,28.64973800596382,1.1532443243584467
10,27.4695987701416,26.7503454637207,0.719253306420903
11,24.56727600097656,24.413557558335786,0.1537184426407734
12,22.19460678100586,22.265514721939788,-0.07090794093392816
1,20.853099822998047,20.881783297852465,-0.028683474854418023
2,20.974380493164062,20.63313300369959,0.3412474894644717
3,22.499462127685547,21.586189484997185,0.9132726426883622
4,24.85076141357422,23.48558202724031,1.3651793863339101
5,27.598596572875977,25.822369932625218,1.7762266402507585
6,29.10557174682617,27.970412769021216,1.1351589778049522
7,29.657176971435547,29.354144193108535,0.3030327783270117
8,29.2279109954834,29.602794487261413,-0.3748834917780144
9,29.11745834350586,28.64973800596382,0.46772033754204045
10,28.03120803833008,26.7503454637207,1.2808625746093831
11,25.876480102539062,24.413557558335786,1.462922544203277
12,23.433591842651367,22.265514721939788,1.1680771207115797
