阶段,hour,datetime,T_inf_degC,U_m_s,d_eff_m,T_shell_degC,Q_W,Q_eff_W,T_wo_degC,Gr_Re2,Q_cap_W,h_nat_W_m2K,h_forced_W_m2K,h_mixed_W_m2K
大潮,3971,2026-06-15 12:00:00,26.847829359084205,0.14605476315789476,30.625760273972602,76.36050053594485,6521.312169577114,6521.261913696883,27.25142860338781,0.05560119819531399,871412.3274469667,154.09068584078238,410.36902592672465,417.4868577130485
大潮,3972,2026-06-15 13:00:00,26.8670144755251,0.1697389736842105,30.115760273972604,76.31594248241348,6516.486877582988,6518.904175888975,27.229594557641256,0.03698203952069642,962026.3000626137,138.86104791782893,456.82840131193217,461.0657263935407
大潮,3973,2026-06-15 14:00:00,26.887824586061175,0.17237055263157897,29.555760273972602,76.28633013431086,6508.8990210305365,6512.563318921085,27.245957828390093,0.03543902438050755,971939.0550324323,137.24850038897057,461.99624715276286,465.99907847685125
大潮,3974,2026-06-15 15:00:00,26.907657441617012,0.14737055263157894,29.0257602739726,76.27762436938224,6498.630647068799,6503.693503158586,27.307129557086565,0.05413679783069002,875743.0491166571,152.69297383259706,413.1976433189946,420.034463514633
大潮,3975,2026-06-15 16:00:00,26.922284388279973,0.09605476315789474,28.655760273972604,76.29949751637184,6481.638027868076,6490.720110391587,27.455695242392903,0.17052392878717848,689993.9800139507,193.43800771634608,307.36546871830114,331.03445046869314
大潮,3976,2026-06-15 17:00:00,26.929428457943683,0.03421265789473684,28.515760273972603,76.38760864187698,6433.477353946812,6462.618021158588,27.91440329255216,2.497280747456836,539509.0153661688,237.326457928819,158.48956981448,258.8719861669387
大潮,3977,2026-06-15 18:00:00,26.928764368308027,0.08158107894736842,28.615760273972604,76.45293597443855,6498.092208297972,6472.28426093093,27.523696036712646,0.2639216368234795,639169.1914083975,199.4334665369712,275.5157274299373,306.68797535650094
大潮,3978,2026-06-15 19:00:00,26.92159324191157,0.1144758157894737,28.9157602739726,76.43883408280134,6512.468623081842,6505.982860981334,27.398073949048367,0.10716320418864904,755161.2761120548,181.42532699666828,346.446286560259,362.2946724006622
大潮,3979,2026-06-15 20:00:00,26.912794291937097,0.12105476315789476,29.265760273972603,76.41073351476487,6511.548319512004,6511.921931921181,27.371453278158622,0.09220433784097583,778196.1041587201,174.76005968102672,360.0523522043781,373.28393542598474
大潮,3980,2026-06-15 21:00:00,26.903993921892223,0.11052844736842107,29.615760273972604,76.39054638711585,6505.75334425713,6508.564579947404,27.39149869109996,0.11757643551513358,741880.8880553925,185.4842447286091,338.1402621492603,355.80532470401187
大潮,3981,2026-06-15 22:00:00,26.897794378188056,0.08552844736842104,29.885760273972604,76.38983567074422,6494.578246889101,6500.301528146575,27.474637286513627,0.23257657022866174,652825.918576373,197.58324181943914,284.2543196115269,313.05809829416023
大潮,3982,2026-06-15 23:00:00,26.89517150239849,0.055265289473684205,30.045760273972604,76.42244973781504,6476.201784046915,6486.163173399674,27.651196823953935,0.7317355261074119,563216.1834041699,214.97307498883762,213.73758838891573,270.07303751198043
大潮,3983,2026-06-16 00:00:00,26.89645057416299,0.03552844736842106,30.085760273972603,76.49594552342685,6459.54199265469,6468.818717421633,27.86573541897856,2.2764114251966556,539915.533556519,235.68408295006162,162.1526895810772,258.9061618568482
大潮,3984,2026-06-16 01:00:00,26.901956873121723,0.05658107894736842,29.995760273972603,76.54236199985569,6496.5087031924795,6480.307370609465,27.64957880169206,0.690385637919407,566390.2913400093,214.17923662644807,216.98788374567349,271.6297905611977
大潮,3985,2026-06-16 02:00:00,26.908437588272125,0.05789686842105263,29.875760273972602,76.54974348504629,6497.592700702181,6496.868335052678,27.645834540088437,0.6503676964473123,569412.6734463831,213.2073393645116,220.21850550641977,273.1126002594917
大潮,3986,2026-06-16 03:00:00,26.914266313450312,0.04210739473684212,29.7757602739726,76.57500166139636,6480.604029294803,6489.283979650948,27.800095243781186,1.4801742516766907,542656.7377964404,227.64241301728916,180.10138644729471,260.3079847625689
大潮,3987,2026-06-16 04:00:00,26.916840799590357,0.055265289473684205,29.7757602739726,76.59433630654023,6500.864502600748,6491.797093822931,27.675516216733126,0.7347439376351067,563464.6595980241,215.30128113576313,213.77171203113718,270.30248292208097
大潮,3988,2026-06-16 05:00:00,26.912908235691894,0.09737055263157895,29.975760273972604,76.55776349383959,6525.674449081071,6515.516361897644,27.445120968402694,0.16553019860529714,695088.5044936662,193.29409139295248,310.18327717667796,333.4197227986709
大潮,3989,2026-06-16 06:00:00,26.90507086817191,0.12763371052631578,30.295760273972604,76.49342693505533,6528.2303986419265,6527.295393917793,27.34853081347472,0.08016289699782318,802154.8120356413,169.0765111987271,373.5118138233091,384.7204410604003
大潮,3990,2026-06-16 07:00:00,26.893653976675004,0.13421265789473685,30.725760273972604,76.4339936786317,6522.441043562224,6525.215121488545,27.32164801405789,0.06993285088705754,826447.1722136491,163.28571577877798,386.8210736975216,396.2860562219064
大潮,3991,2026-06-16 08:00:00,26.88418733632792,0.10658107894736842,31.0957602739726,76.39780782144616,6508.306230867093,6515.3521923583785,27.384053545307747,0.12960661041370658,729193.1182154105,190.03273664891486,329.7699939728476,349.5898743899278
大潮,3992,2026-06-16 09:00:00,26.879598474517458,0.06710739473684212,31.315760273972604,76.4020984607077,6486.475066105345,6498.1796556885265,27.552069312167326,0.44075855503527983,593714.9072310051,206.8113902328817,242.2118851778943,284.614301276563
大潮,3993,2026-06-16 10:00:00,26.87988738992283,0.03552844736842103,31.385760273972604,76.46451062617601,6456.798140504881,6473.521048158138,27.848902489906322,2.2747826824558985,539921.1115749966,235.59855145529497,162.1343820388702,258.8281072899077
大潮,3994,2026-06-16 11:00:00,26.886355205094347,0.0776337105263158,31.265760273972603,76.49330557507199,6508.655843036426,6487.783470427846,27.501725461103828,0.30119990919184336,626403.2666401841,201.2892005832752,266.5190732553191,300.3226056570925
大潮,3995,2026-06-16 12:00:00,26.89705023290718,0.11579160526315792,31.015760273972603,76.45760562891151,6519.796534147127,6515.1460400075475,27.370473187933946,0.10399792009437352,759981.4593495011,180.21853980237725,349.1130101279327,364.43868054537177
大潮,3996,2026-06-16 13:00:00,26.91294831494552,0.1539495,30.605760273972603,76.40907676589795,6520.653168415951,6520.588829389823,27.301624034230557,0.04826775887918143,900943.3286105682,148.6820992271923,426.21671382521566,432.16439306432534
大潮,3997,2026-06-16 14:00:00,26.93307360698879,0.17631792105263155,30.065760273972604,76.36668816676519,6515.366447221313,6517.98376432958,27.28565066282068,0.03338191176807616,986735.5923884549,135.2716817762029,469.7875898148709,473.49671888745974
大潮,3998,2026-06-16 15:00:00,26.954498579011595,0.17631792105263158,29.485760273972602,76.3399273395514,6507.605307467932,6511.353534198428,27.306588410231043,0.03335440643205339,986501.9637834108,135.1339628129546,469.87933553783887,473.5758085419677
大潮,3999,2026-06-16 16:00:00,26.97462098195689,0.14605476315789473,28.945760273972603,76.33487566931352,6496.7552008558705,6502.143218905258,27.376260631909393,0.055515148914750546,870133.4065424079,153.65666013831623,410.82742971075885,417.8709451668142
大潮,4000,2026-06-16 17:00:00,26.988561599995236,0.09210739473684211,28.5957602739726,76.36170663393801,6479.022834023338,6488.616709341329,27.536430950243886,0.190848512754131,675309.4039088422,195.03861747073134,298.9492715497431,324.3943812655312
大潮,4001,2026-06-16 18:00:00,26.995344588909017,0.03158107894736842,28.465760273972602,76.45764257641393,6428.65343374223,6459.298268508024,28.02096655978592,3.05863739004464,539442.4346274743,240.79545773280861,151.02520643820415,259.1619300414111
大潮,4002,2026-06-16 19:00:00,26.99301826157859,0.08947581578947368,28.615760273972604,76.51826236358232,6502.79885029949,6474.28148161417,27.55340569583057,0.20691885650041256,666078.9004307833,196.26906303121038,293.193033941942,319.98728021424773
大潮,4003,2026-06-16 20:00:00,26.98548598830168,0.11710739473684212,28.925760273972603,76.4988945165664,6512.816392110275,6508.216992385499,27.4544369415876,0.10094248350800908,763733.944468745,178.79242096648233,352.10834487850843,366.8490706298275
大潮,4004,2026-06-16 21:00:00,26.976325858409147,0.12368634210526316,29.285760273972603,76.47004874692516,6511.797008916427,6512.238090754272,27.4280540329441,0.08712561377052892,787088.8672753803,172.3435201749808,365.66152762277187,378.0019726131158
大潮,4005,2026-06-16 22:00:00,26.96716427542708,0.10921265789473683,29.645760273972602,76.45071849074716,6504.761729499593,6508.2010441167595,27.45829056832874,0.12152896426329242,737018.4698884503,187.0129057444065,335.552225102119,353.8943555406998
大潮,4006,2026-06-16 23:00:00,26.96157932868785,0.08158107894736844,29.895760273972602,76.45372659333525,6492.241672784672,6498.723784009614,27.555831306346345,0.26384523964076356,638923.6545311847,199.46682194170796,275.5872918239258,306.75983663134446
大潮,4007,2026-06-17 00:00:00,26.95924573591349,0.05263371052631581,30.045760273972604,76.49146067672471,6474.116651965893,6483.990958022857,27.736992141103453,0.8315466523386406,557430.6407210245,217.29352028696258,207.2940154717605,267.62166000856763
大潮,4008,2026-06-17 01:00:00,26.960814057729568,0.03816002631578948,30.0757602739726,76.5620007921434,6464.838524300749,6470.072688472261,27.89377486191079,1.9016169403422798,539928.1890424311,232.38429422204376,169.50561346351196,259.22642265072363
大潮,4009,2026-06-17 02:00:00,26.966609573794802,0.05658107894736842,29.975760273972604,76.60405557165247,6496.040407856235,6482.157861804899,27.71382413577729,0.6911773444325149,566059.9368951638,214.35010744210075,217.09174120340737,271.8023081507841
大潮,4010,2026-06-17 03:00:00,26.972728911189993,0.055265289473684205,29.865760273972604,76.61507472476082,6495.025850257021,6495.325020013247,27.73043839673244,0.7348756343394666,563103.6624021253,215.390231862051,213.8597955916073,270.4140100118715
