工况,时刻,T_shell_degC,Q_W,Q_cap_W,T_inf_degC,U_m_s,h_mixed_W_m2K
全年最热（数据识别）,2026-08-07 22:00:00,78.51474426496202,6512.065304156211,535438.1575642023,28.67437592997496,0.04251447368421051,265.6532865692038
全年散热最低,2026-05-18 18:00:00,74.45073940111799,6413.931354089087,550926.7254824325,24.944243160074933,0.02395207894736842,254.81865417823252
冬季小潮（用户示例，最浅浸没）,2026-01-12 00:00:00,69.56556831741227,6501.470794747788,707132.1895517161,20.00807815845396,0.08956380701754386,300.1526515559674
