material,temperature_C,temperature_min_C,temperature_max_C,thermal_conductivity_W_per_mK,thermal_conductivity_min_W_per_mK,thermal_conductivity_max_W_per_mK,数据质量
Hafnium,0.0,0.0,0.0,23.3,23.3,23.3,完整点值
Hafnium,127.0,127.0,127.0,22.3,22.3,22.3,完整点值
Hafnium,327.0,327.0,327.0,21.3,21.3,21.3,完整点值
Hafnium,527.0,527.0,527.0,20.8,20.8,20.8,完整点值
Hafnium,727.0,727.0,727.0,20.7,20.7,20.7,完整点值
Hafnium,927.0,927.0,927.0,20.9,20.9,20.9,完整点值
Hastelloy C,12.5,0.0,25.0,12.0,12.0,12.0,温度取范围中点
Inconel,60.5,21.0,100.0,15.0,15.0,15.0,温度取范围中点
Incoloy,50.0,0.0,100.0,12.0,12.0,12.0,温度取范围中点
Indium,-73.0,-73.0,-73.0,89.7,89.7,89.7,完整点值
Indium,0.0,0.0,0.0,83.7,83.7,83.7,完整点值
Indium,127.0,127.0,127.0,75.5,75.5,75.5,完整点值
Iridium,-73.0,-73.0,-73.0,153.0,153.0,153.0,完整点值
Iridium,0.0,0.0,0.0,148.0,148.0,148.0,完整点值
Iridium,127.0,127.0,127.0,144.0,144.0,144.0,完整点值
Iridium,327.0,327.0,327.0,138.0,138.0,138.0,完整点值
Iridium,527.0,527.0,527.0,132.0,132.0,132.0,完整点值
Iridium,727.0,727.0,727.0,126.0,126.0,126.0,完整点值
Iridium,927.0,927.0,927.0,120.0,120.0,120.0,完整点值
Iron,-73.0,-73.0,-73.0,94.0,94.0,94.0,完整点值
Iron,0.0,0.0,0.0,83.5,83.5,83.5,完整点值
Iron,127.0,127.0,127.0,69.4,69.4,69.4,完整点值
Iron,327.0,327.0,327.0,54.7,54.7,54.7,完整点值
Iron,527.0,527.0,527.0,43.3,43.3,43.3,完整点值
Iron,727.0,727.0,727.0,32.6,32.6,32.6,完整点值
Iron,927.0,927.0,927.0,28.2,28.2,28.2,完整点值
Iron - Cast,20.0,20.0,20.0,52.0,52.0,52.0,完整点值
Iron - Nodular pearlitic,100.0,100.0,100.0,31.0,31.0,31.0,完整点值
Iron - Wrought,20.0,20.0,20.0,59.0,59.0,59.0,完整点值
Lead,-73.0,-73.0,-73.0,36.6,36.6,36.6,完整点值
Lead,0.0,0.0,0.0,35.5,35.5,35.5,完整点值
Lead,127.0,127.0,127.0,33.8,33.8,33.8,完整点值
Lead,327.0,327.0,327.0,31.2,31.2,31.2,完整点值
Chemical lead,12.5,0.0,25.0,35.0,35.0,35.0,温度取范围中点
Antimonial lead (hard lead),12.5,0.0,25.0,30.0,30.0,30.0,温度取范围中点
Lithium,-73.0,-73.0,-73.0,88.1,88.1,88.1,完整点值
Lithium,0.0,0.0,0.0,79.2,79.2,79.2,完整点值
Lithium,127.0,127.0,127.0,72.1,72.1,72.1,完整点值
Magnesium,-73.0,-73.0,-73.0,159.0,159.0,159.0,完整点值
Magnesium,0.0,0.0,0.0,157.0,157.0,157.0,完整点值
Magnesium,127.0,127.0,127.0,153.0,153.0,153.0,完整点值
Magnesium,327.0,327.0,327.0,149.0,149.0,149.0,完整点值
Magnesium,527.0,527.0,527.0,146.0,146.0,146.0,完整点值
