扰动项,Q变化%,成本变化%,寿命变化%
海水深度 +10%,0.0,0.0,0.0
海水深度 -10%,-1.1500057757633386,0.0,0.0
壁厚 +10%,0.0,6.015229545732468,0.0
壁厚 -10%,0.0,-6.032021162102126,-16.044977324050492
材料导热系数 +10%,0.5105428041493199,0.0,0.0
材料导热系数 -10%,-0.6109778564056738,0.0,0.0
材料价格 +10%,0.0,6.506181312075323,0.0
材料价格 -10%,0.0,-6.506181312075309,0.0
腐蚀速率 +10%,0.0,0.0,-9.058938743520358
腐蚀速率 -10%,0.0,0.0,0.0
屈服强度 +10%,0.0,0.0,0.0
屈服强度 -10%,0.0,0.0,-6.716641471167235
海水温度 +10%,-3.885254810245345,0.0,0.0
海水温度 -10%,3.8826244359885305,0.0,0.0
