材料,Q_W,成本_元,寿命_年,N_台,Q相对基准%,成本相对基准%,寿命相对基准%
6061 铝合金,6945888.265449111,57513.087526404466,50.0,992,0.0,0.0,0.0
304 不锈钢,4988505.909165973,95591.66461960085,50.0,992,-28.180446927425155,66.20854266555307,0.0
316L 不锈钢,4988505.909165973,130823.89410874792,50.0,992,-28.180446927425155,127.46804203249597,0.0
TC4 钛合金,4351015.01053784,908709.8673617388,50.0,992,-37.35840767578904,1480.0053630307134,0.0
AISI 1040 碳钢,6282058.368380295,45634.79301292059,33.13451529106698,992,-9.557163485783397,-20.65320264371219,-33.730969417866035
T2 紫铜,7186005.113846939,400116.1466967311,50.0,992,3.4569638787919965,595.6958214302724,0.0
