排名,mat_idx,depth,wall,Q,cost,life,N,n_theory,n_space,T_sea,t_req,corr_allow_mm,mass_kg,材料,D_plus,D_minus,TOPSIS贴近度
1,0,100.0,0.01206010852963359,6945888.265449111,57513.087526404466,50.0,992,13891.776530898223,992.0537273718509,20.30362060856164,0.00455747097597402,7.502637553659571,1700.8662512002031,6061 铝合金,0.008784679060365966,0.088417553259217,0.9096247189932474
2,0,100.0,0.012052533605418787,6945888.265449111,57491.327700887705,49.96708419629845,992,13891.776530898223,992.0861034079118,20.30362060856164,0.00455747097597402,7.495062629444767,1699.8771682221684,6061 铝合金,0.008782160796064394,0.08838747971261998,0.909620322251995
3,0,78.78649624440335,0.009685404676104832,6773644.836936276,50672.814055120674,40.63155317852859,1002,13547.289673872552,1002.2312419112973,21.599615122985714,0.003590671699325544,6.094732976779288,1389.9447297782128,6061 铝合金,0.018597792335610513,0.07761525495777576,0.8067019717305125
4,0,78.52209360154527,0.009512121295911155,6771431.339953488,50172.20886953009,39.55666446862385,1002,13542.862679906975,1002.9760829730267,21.616267286324224,0.003578621625617578,5.933499670293577,1367.1899486150044,6061 铝合金,0.019811382021924485,0.07672865604897816,0.7947858482573391
5,0,87.04768362754761,0.00975005660441436,6841978.354688822,50859.53843527282,38.5525579188746,1001,13683.956709377644,1001.9534182099723,21.085512213214756,0.003967172916583171,5.782883687831189,1398.4322016033102,6061 铝合金,0.019924901556785096,0.07707640658865358,0.7945914138919575
6,0,89.5233769838544,0.009790407806466585,6862144.306249976,50976.064624884035,38.0693725581041,1001,13724.288612499953,1001.7800410790763,20.93378293700319,0.00408000192275097,5.710405883715615,1403.728846585638,6061 铝合金,0.020260206679693107,0.07704479496565629,0.7917865850972787
7,0,43.86569937641106,0.008415160874191672,6467123.786767908,46998.524988720994,42.773295711358145,1007,12934.247573535817,1007.6981476647588,23.905289671345166,0.00199916651748795,6.415994356703721,1222.931590396409,6061 铝合金,0.02342587249676812,0.07512632530168901,0.7622998469838806
8,0,39.08061217312808,0.00827111682029928,6422901.973080445,46581.18793124086,43.26686175517332,1008,12845.80394616089,1008.3190956412082,24.237925349176518,0.0017810875570232819,6.490029263275998,1203.9617241473115,6061 铝合金,0.02423263801286488,0.07502023917489922,0.7558495159085195
9,0,38.93467821252281,0.008208801427445173,6421544.925896627,46400.599552237654,42.89576512213711,1008,12843.089851793255,1008.5877897015664,24.248133195593905,0.0017744366591246074,6.434364768320566,1195.753161465348,6061 铝合金,0.024490005960770236,0.07466866733618485,0.7530220489393915
10,0,40.161532311347436,0.008208801427445173,6432938.055029323,46400.599552237654,42.52300832566057,1008,12865.876110058647,1008.5877897015664,24.16243325639612,0.001830350178596087,6.378451248849085,1195.753161465348,6061 铝合金,0.02443911846382538,0.0744752959874234,0.752926622480584
